Designator,Mid X,Mid Y,Rotation,Layer
D1,174.73,-149.6,180.0,top
D2,239.25,-167.25,90.0,top
D3,266.25,-111.44,270.0,top
D4,240.75,-178.25,0.0,top
D5,160.69,-118.0,0.0,top
IC1,248.31,-135.11,0.0,top
IC2,248.11,-162.81,0.0,top
J2,151.25,-120.77,0.0,top
Q1,158.02,-123.0,0.0,top
Q2,194.86,-101.0,90.0,top
Q3,244.5,-111.23,90.0,top
Q4,169.52,-126.75,0.0,top
Q5,175.48,-141.33,270.0,top
Q6,215.73,-103.75,0.0,top
Q7,157.25,-149.25,0.0,top
Q8,163.98,-149.25,0.0,top
R1,239.25,-105.5,180.0,top
R10,160.5,-137.17,270.0,top
R11,164.0,-162.42,90.0,top
R12,151.75,-137.33,270.0,top
R13,253.75,-105.5,0.0,top
R14,205.5,-101.75,0.0,top
R15,253.75,-112.5,0.0,top
R16,169.48,-137.85,90.0,top
R17,175.48,-154.1,180.0,top
R2,239.42,-101.25,180.0,top
R3,195.5,-114.5,180.0,top
R4,156.25,-137.25,90.0,top
R5,157.0,-162.42,270.0,top
R6,198.83,-107.0,0.0,top
R7,219.42,-108.0,180.0,top
R8,221.25,-97.25,180.0,top
R9,253.75,-109.0,180.0,top
U1,194.38,-152.28,0.0,top
U2,168.3,-101.5,0.0,top
U3,221.98,-146.83,180.0,top
